"Princeton","1"
"Harvard University","1"
"Yale University","1"
"Columbia University","1"
"Stanford University","1"
"University of Chicago","1"
"Duke University","1"
"Massachusetts Institute of Technology","1"
"University of Pennsylvania","1"
"California Institute of Technology","1"
"Dartmouth College","1"
"Johns Hopkins University","1"
"Northwestern University","1"
"Brown University","1"
"Washington University in St. Louis","1"
"Cornell University","1"
"Vanderbilt University","1"
"Rice University","1"
"University of Notre Dame","1"
"Emory University","1"
"Georgetown University","1"
"University of California–Berkeley","1"
"Carnegie Mellon University","1"
"University of California–Los Angeles","1"
"University of Southern California","1"
"University of Virginia","1"
"Wake Forest University","1"
"Tufts University","1"
"University of Michigan–Ann Arbor","1"
"University of North Carolina–Chapel Hill","1"
"Boston College","1"
"Brandeis University","1"
"College of William and Mary","1"
"New York University","1"
"University of Rochester","1"
"Georgia Institute of Technology","1"
"Case Western Reserve University","1"
"Pennsylvania State University–University Park","1"
"University of California–Davis","1"
"University of California–San Diego","1"
"Boston University","1"
"Lehigh University","1"
"Rensselaer Polytechnic Institute","1"
"University of California–Santa Barbara","1"
"University of Illinois–Urbana-Champaign","1"
"University of Wisconsin–Madison","1"
"University of Miami","1"
"Yeshiva University","1"
"Northeastern University","1"
"University of California–Irvine","1"
"University of Florida","1"
"George Washington University","1"
"Ohio State University–Columbus","1"
"Tulane University","1"
"University of Texas–Austin","1"
"University of Washington","1"
"Fordham University","1"
"Pepperdine University","1"
"University of Connecticut","1"
"Southern Methodist University","1"
"University of Georgia","1"
"Brigham Young University–Provo","1"
"Clemson University","1"
"Syracuse University","1"
"University of Maryland–College Park","1"
"University of Pittsburgh","1"
"Worcester Polytechnic Institute","1"
"Purdue University–West Lafayette","1"
"Rutgers, the State University of New Jersey–New Brunswick","1"
"Texas A&M University–College Station","1"
"University of Minnesota–Twin Cities","1"
"Virginia Tech","1"
"Michigan State University","1"
"University of Iowa","1"
"American University","1"
"Baylor University","1"
"Clark University","1"
"Indiana University–Bloomington","1"
"Marquette University","1"
"Miami University–Oxford","1"
"University of Delaware","1"
"Stevens Institute of Technology","1"
"Stony Brook University–SUNY","1"
"Texas Christian University","1"
"University of Vermont","1"
"SUNY College of Environmental Science and Forestry","1"
"University of Alabama","1"
"University of California–Santa Cruz","1"
"University of Colorado–Boulder","1"
"University of Tulsa","1"
"Auburn University","1"
"Colorado School of Mines","1"
"Florida State University","1"
"University of Denver","1"
"University of Massachusetts–Amherst","1"
"University of San Diego","1"
"Binghamton University–SUNY","1"
"Drexel University","1"
"University of Missouri","1"
"University of New Hampshire","1"
"Williams College","1"
"Amherst College","1"
"Swarthmore College","1"
"Bowdoin College","1"
"Middlebury College","1"
"Pomona College","1"
"Carleton College","1"
"Wellesley College","1"
"Claremont McKenna College","1"
"Davidson College","1"
"Haverford College","1"
"United States Naval Academy","1"
"Vassar College","1"
"Hamilton College","1"
"Washington and Lee University","1"
"Harvey Mudd College","1"
"Grinnell College","1"
"United States Military Academy","1"
"Wesleyan University","1"
"Colgate University","1"
"Smith College","1"
"Bates College","1"
"Colby College","1"
"Macalester College","1"
"College of the Holy Cross","1"
"Oberlin College","1"
"Scripps College","1"
"United States Air Force Academy","1"
"University of Richmond","1"
"Bryn Mawr College","1"
"Colorado College","1"
"Barnard College","1"
"Bucknell University","1"
"Kenyon College","1"
"Pitzer College","1"
"Lafayette College","1"
"Trinity College","1"
"Bard College","1"
"Mount Holyoke College","1"
"Sewanee–University of the South","1"
"Occidental College","1"
"Soka University of America","1"
"Union College","1"
"Whitman College","1"
"Connecticut College","1"
"Dickinson College","1"
"Franklin and Marshall College","1"
"Skidmore College","1"
"Centre College","1"
"Denison University","1"
"Gettysburg College","1"
"Furman University","1"
"St. Olaf College","1"
"DePauw University","1"
"Rhodes College","1"
"St. Lawrence University","1"
"Wabash College","1"
"Wheaton College","1"
"Beloit College","1"
"Lawrence University","1"
"Hobart and William Smith Colleges","1"
"Kalamazoo College","1"
"Thomas Aquinas College","1"
"Willamette University","1"
"College of Wooster","1"
"Earlham College","1"
"Illinois Wesleyan University","1"
"Muhlenberg College","1"
"Southwestern University","1"
"Spelman College","1"
"Virginia Military Institute","1"
"Wheaton College","1"
"Wofford College","1"
"Lewis & Clark College","1"
"Reed College","1"
"Berea College","1"
"Gustavus Adolphus College","1"
"St. John's University","1"
"St. Mary's College","1"
"Transylvania University","1"
"University of Puget Sound","1"
"Allegheny College","1"
"Austin College","1"
"Hendrix College","1"
"Hillsdale College","1"
"Knox College","1"
"Millsaps College","1"
"Ursinus College","1"
"Agnes Scott College","1"
"New College of Florida","1"
"St. Mary's College of Maryland","1"
"St. Michael's College","1"
"College of the Atlantic","1"
"College of St. Benedict","1"
"Luther College","1"
"Westmont College","1"
"Cornell College","1"
"Hampden-Sydney College","1"
"Washington and Jefferson College","1"
"Albion College","1"
"Iowa State University","2"
"Loyola University Chicago","2"
"North Carolina State University–Raleigh","2"
"St. Louis University","2"
"University of Kansas","2"
"University of Nebraska–Lincoln","2"
"University of Oklahoma","2"
"University of Tennessee","2"
"Illinois Institute of Technology","2"
"University at Buffalo–SUNY","2"
"University of Oregon","2"
"University of California–Riverside","2"
"University of Dayton","2"
"University of South Carolina","2"
"University of St. Thomas","2"
"University of the Pacific","2"
"Michigan Technological University","2"
"University of San Francisco","2"
"University of Arizona","2"
"University of Kentucky","2"
"Catholic University of America","2"
"Clarkson University","2"
"Colorado State University","2"
"DePaul University","2"
"Duquesne University","2"
"Temple University","2"
"University of Utah","2"
"Missouri University of Science & Technology","2"
"Polytechnic Institute of New York University","2"
"Seton Hall University","2"
"University at Albany–SUNY","2"
"University of Arkansas","2"
"University of Illinois–Chicago","2"
"Washington State University","2"
"Hofstra University","2"
"Kansas State University","2"
"Louisiana State University–Baton Rouge","2"
"New School","2"
"Ohio University","2"
"University of Cincinnati","2"
"George Mason University","2"
"Arizona State University","2"
"Howard University","2"
"Mississippi State University","2"
"Oklahoma State University","2"
"Oregon State University","2"
"Rutgers, the State University of New Jersey–Newark","2"
"St. John Fisher College","2"
"University of Texas–Dallas","2"
"New Jersey Institute of Technology","2"
"University of Mississippi","2"
"Adelphi University","2"
"Illinois State University","2"
"San Diego State University","2"
"St. John's University","2"
"University of Alabama–Birmingham","2"
"University of Rhode Island","2"
"University of Hawaii–Manoa","2"
"University of Maryland–Baltimore County","2"
"University of Massachusetts–Lowell","2"
"Maryville University of St. Louis","2"
"Texas Tech University","2"
"University of Idaho","2"
"University of La Verne","2"
"University of Louisville","2"
"University of Wyoming","2"
"Florida Institute of Technology","2"
"University of Maine","2"
"Virginia Commonwealth University","2"
"University of Central Florida","2"
"University of South Florida","2"
"West Virginia University","2"
"Azusa Pacific University","2"
"Pace University","2"
"St. Mary's University of Minnesota","2"
"University of North Dakota","2"
"Biola University","2"
"Indiana University of Pennsylvania","2"
"Northern Illinois University","2"
"Southern Illinois University–Carbondale","2"
"Andrews University","2"
"Ball State University","2"
"Bowling Green State University","2"
"East Carolina University","2"
"University of Alabama–Huntsville","2"
"University of Nevada–Reno","2"
"University of New Mexico","2"
"Western Michigan University","2"
"Widener University","2"
"Central Michigan University","2"
"Edgewood College","2"
"Immaculata University","2"
"Louisiana Tech University","2"
"New Mexico State University","2"
"North Dakota State University","2"
"University of Colorado–Denver","2"
"University of Houston","2"
"University of North Carolina–Greensboro","2"
"University of South Dakota","2"
"Utah State University","2"
"Kent State University","2"
"Montana State University","2"
"South Dakota State University","2"
"University of Missouri–Kansas City","2"
"University of Montana","2"
"University of North Carolina–Charlotte","2"
"Augustana College","2"
"Bennington College","2"
"Calvin College","2"
"Hope College","2"
"Juniata College","2"
"Ohio Wesleyan University","2"
"Drew University","2"
"Principia College","2"
"Washington College","2"
"Goucher College","2"
"Hampshire College","2"
"Hollins University","2"
"Lake Forest College","2"
"Sweet Briar College","2"
"Birmingham-Southern College","2"
"Hanover College","2"
"Stonehill College","2"
"Susquehanna University","2"
"Westminster College","2"
"Coe College","2"
"Ripon College","2"
"St. Anselm College","2"
"Linfield College","2"
"St. John's College","2"
"Wittenberg University","2"
"Alma College","2"
"Berry College","2"
"McDaniel College","2"
"Morehouse College","2"
"Presbyterian College","2"
"Roanoke College","2"
"Siena College","2"
"Whittier College","2"
"Central College","2"
"Randolph College","2"
"Randolph-Macon College","2"
"St. Norbert College","2"
"Concordia College–Moorhead","2"
"Gordon College","2"
"Moravian College","2"
"Eckerd College","2"
"Goshen College","2"
"Grove City College","2"
"Houghton College","2"
"Wells College","2"
"Fisk University","2"
"Georgetown College","2"
"Nebraska Wesleyan University","2"
"St. Vincent College","2"
"University of North Carolina–Asheville","2"
"Wartburg College","2"
"Westminster College","2"
"William Jewell College","2"
"Simpson College","2"
"University of Minnesota–Morris","2"
"Doane College","2"
"Hiram College","2"
"Illinois College","2"
"Purchase College–SUNY","2"
"Salem College","2"
"Hartwick College","2"
"Lycoming College","2"
"Wesleyan College","2"
"Xavier University of Louisiana","2"
"Monmouth College","2"
"Oglethorpe University","2"
"American Jewish University","2"
"Carthage College","2"
"Centenary College of Louisiana","2"
"College of Idaho","2"
"Lyon College","2"
"Warren Wilson College","2"
"Emory and Henry College","2"
"Guilford College","2"
"Ouachita Baptist University","2"
"Albright College","2"
"Maryville College","2"
"Massachusetts College of Liberal Arts","2"
"Virginia Wesleyan College","2"
"Eastern Mennonite University","2"
"Erskine College","2"
"Northland College","2"
"Ashland University","3"
"Barry University","3"
"Benedictine University","3"
"Bowie State University","3"
"Cardinal Stritch University","3"
"Clark Atlanta University","3"
"Cleveland State University","3"
"East Tennessee State University","3"
"Florida A&M University","3"
"Florida Atlantic University","3"
"Florida International University","3"
"Georgia Southern University","3"
"Georgia State University","3"
"Idaho State University","3"
"Indiana State University","3"
"Indiana University-Purdue University–Indianapolis","3"
"Jackson State University","3"
"Lamar University","3"
"Lynn University","3"
"Middle Tennessee State University","3"
"Morgan State University","3"
"National-Louis University","3"
"North Carolina A&T State University","3"
"Northern Arizona University","3"
"Nova Southeastern University","3"
"Oakland University","3"
"Old Dominion University","3"
"Our Lady of the Lake University","3"
"Portland State University","3"
"Regent University","3"
"Sam Houston State University","3"
"South Carolina State University","3"
"Spalding University","3"
"Tennessee State University","3"
"Texas A&M University–Commerce","3"
"Texas A&M University–Corpus Christi","3"
"Texas A&M University–Kingsville","3"
"Texas Southern University","3"
"Texas Woman's University","3"
"Trevecca Nazarene University","3"
"Trinity International University","3"
"University of Akron","3"
"University of Alaska–Fairbanks","3"
"University of Arkansas–Little Rock","3"
"University of Louisiana–Lafayette","3"
"University of Louisiana–Lafayette","3"
"University of Massachusetts–Boston","3"
"University of Memphis","3"
"University of Missouri–St. Louis","3"
"University of Nebraska–Omaha","3"
"University of Nevada–Las Vegas","3"
"University of New Orleans","3"
"University of Northern Colorado","3"
"University of North Texas","3"
"University of South Alabama","3"
"University of Southern Mississippi","3"
"University of Texas–Arlington","3"
"University of Texas–El Paso","3"
"University of Texas–San Antonio","3"
"University of Toledo","3"
"University of West Florida","3"
"University of Wisconsin–Milwaukee","3"
"Wayne State University","3"
"Wichita State University","3"
"Wright State University","3"
"Alliant International University","3"
"Argosy University","3"
"California Institute of Integral Studies","3"
"Capella University","3"
"Colorado Technical University","3"
"Northcentral University","3"
"Trident University International","3"
"Union Institute and University","3"
"University of Phoenix","3"
"Walden University","3"
"Wilmington University","3"
"Allen University","3"
"Amridge University","3"
"Ave Maria University","3"
"Bay Path College","3"
"Bennett College","3"
"Bethany College","3"
"Bethany Lutheran College","3"
"Bloomfield College","3"
"Brevard College","3"
"Bridgewater College","3"
"Bryn Athyn College of the New Church","3"
"Burlington College","3"
"Castleton State College","3"
"Claflin University","3"
"Clearwater Christian College","3"
"College of Saints John Fisher & Thomas More","3"
"Colorado Mesa University","3"
"Dillard University","3"
"Eastern Nazarene College","3"
"East-West University","3"
"Fort Lewis College","3"
"Green Mountain College","3"
"Harrisburg University of Science and Technology","3"
"Holy Cross College","3"
"Huston-Tillotson University","3"
"Johnson C. Smith University","3"
"Judson College","3"
"Kentucky State University","3"
"King's College","3"
"Lane College","3"
"Life University","3"
"Louisiana State University–Alexandria","3"
"Marlboro College","3"
"Marymount Manhattan College","3"
"Pacific Union College","3"
"Pine Manor College","3"
"Rust College","3"
"San Diego Christian College","3"
"Savannah State University","3"
"Shawnee State University","3"
"Shimer College","3"
"Shorter University","3"
"Simpson University","3"
"Stillman College","3"
"SUNY College–Old Westbury","3"
"Talladega College","3"
"Tougaloo College","3"
"University of Hawaii–Hilo","3"
"University of Maine–Machias","3"
"University of Pikeville","3"
"University of Science and Arts of Oklahoma","3"
"University of Virginia–Wise","3"
"University of Wisconsin–Parkside","3"
"Virginia Intermont College","3"
"Western State Colorado University","3"
"West Virginia State University","3"
"William Peace University","3"
"Wisconsin Lutheran College","3"
"Beacon College","3"
"Charter Oak State College","3"
"Granite State College","3"
"Martin University","3"
"National Hispanic University","3"
"Sarah Lawrence College","3"
"Sterling College","3"
"Thomas More College of Liberal Arts","3"
